queue_id,name,country,domain,whatsapp_number,whatsapp_url,primary_email,primary_linkedin,fit_score,inferred_need_1,inferred_need_2,recommended_product_1,recommended_product_2,source_description
"14","Core Automation","Netherlands","coreautomation.nl","+31627593130","https://wa.me/31627593130","user@domain.com","","9.8","PLC/SCADA connectivity and protocol conversion","energy and utility equipment monitoring","ARM edge controllers","industrial gateways and routers","Intelligent home automation, energy management and control systems. Designed for Home Owners &amp; Professionals. Precision-Engineered, Fully Integrated."
"13","Benelux Electric","Netherlands","beneluxelectric.com","+31687600185","https://wa.me/31687600185","","","8.3","PLC/SCADA connectivity and protocol conversion","building automation and HVAC integration","ARM edge controllers","industrial gateways and routers","Benelux Electric appears on Google Maps as a (1) in Netherlands. The lead was collected from a search related to building automation Amsterdam, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"15","Loxone Netherlands","Netherlands","loxone.com","+31208208214","https://wa.me/31208208214","PH-Campus-Outdoor@2x.jpg","","8.3","PLC/SCADA connectivity and protocol conversion","building automation and HVAC integration","ARM edge controllers","industrial gateways and routers","LOXONE brengt verlichting, energie, klimaat en veiligheid samen in een alles-in-één gebouwautomatisering – voor gebouwen die gewoon werken."
"16","Sight and Sound Systems","Netherlands","sightandsound.nl","+31208452516","https://wa.me/31208452516","gfkN@QgGHRCfMQNVfM.fW","","8.3","PLC/SCADA connectivity and protocol conversion","building automation and HVAC integration","ARM edge controllers","industrial gateways and routers","Sight and Sound Systems appears on Google Maps as a (1) in Netherlands. The lead was collected from a search related to building automation Amsterdam, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"17","HCS Building Automation B.V.","Netherlands","hcs-ba.nl","+31182232655","https://wa.me/31182232655","info@hcs-ba.nl","https://www.linkedin.com/company/3505886/admin/feed/posts/","8.3","PLC/SCADA connectivity and protocol conversion","building automation and HVAC integration","ARM edge controllers","industrial gateways and routers","HCS Building Automation B.V. appears on Google Maps as a (2) in Netherlands. The lead was collected from a search related to building automation Amsterdam, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"10","Healthy Workers","Netherlands","healthyworkers.com","+31202611555","https://wa.me/31202611555","info@healthyworkers.com","https://www.linkedin.com/company/healthy-workers/","7.5","PLC/SCADA connectivity and protocol conversion","building automation and HVAC integration","ARM edge controllers","industrial gateways and routers","Healthy Workers appears on Google Maps as a (1) in Netherlands. The lead was collected from a search related to building automation Amsterdam, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"11","Industrial Automation Partners B.V.","Netherlands","","+31204472777","https://wa.me/31204472777","","","7.5","PLC/SCADA connectivity and protocol conversion","building automation and HVAC integration","ARM edge controllers","industrial gateways and routers","Industrial Automation Partners B.V. appears on Google Maps as a (3) in Netherlands. The lead was collected from a search related to building automation Amsterdam, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"12","Thinka | HomeKit for Z-Wave and KNX","Netherlands","thinka.eu","+31202420666","https://wa.me/31202420666","info@thinka.eu","","7.5","PLC/SCADA connectivity and protocol conversion","building automation and HVAC integration","ARM edge controllers","industrial gateways and routers","Thinka is the brain to your smart home KNX system. Control your home with your iPhone, iPad, Apple Watch or voice."
"1","Automation Berlin Kunz GmbH","Germany","automation-berlin.com","+493093663982","https://wa.me/493093663982","info@automation-berlin.com","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Automation-Berlin Kunz GmbH supplies Siemens spare parts, industrial components and process instrumentation worldwide. Catalogue, availability check and offer for automation technology."
"3","AiSash","Germany","aisash.de","+491625991856","https://wa.me/491625991856","kontakt@aisash.de","https://www.linkedin.com/company/111987209/","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","AiSash: KI-Automatisierung für Handwerksbetriebe in Berlin. Chatbots, Terminbuchung, Rechnungen, Bewertungen — alles automatisch. Von Oleksandr Pistruzhak, TU Berlin."
"5","i4 Automation & Engineering GmbH","Germany","i4ae.de","+491639253985","https://wa.me/491639253985","i4ae.gmbh@gmail.com","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","SPS-Programmierung mit CODESYS &amp; TIA Portal, Elektroplanung und HMI-Visualisierung. i4AE GmbH aus Berlin-Brandenburg – Projekte europa- und weltweit."
"7","S-Tec Berlin Industrieelektronik GmbH","Germany","","+4930364280000","https://wa.me/4930364280000","","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","S-Tec Berlin Industrieelektronik GmbH appears on Google Maps as a (11) in Germany. The lead was collected from a search related to industrial automation Berlin, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"8","AK Automation | Automatisierung & SPS Berlin","Germany","ak-automation.engineer","+4917647755800","https://wa.me/4917647755800","","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","AK Automation | Automatisierung & SPS Berlin appears on Google Maps as a (3) in Germany. The lead was collected from a search related to industrial automation Berlin, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"9","Gestalt Automation GmbH","Germany","gestalt-automation.com","+493061651560","https://wa.me/493061651560","GettingtoknowGestalt@gestalt-robotics.com","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Mit industrieller KI die Zukunft neu gestalten. Gestalt entwickelt KI-Automation für industrielle Inspektionen. Effiziente, präzise und praxisnahe Lösungen für eine zukunftssichere Produktion."
