queue_id,name,country,domain,whatsapp_number,whatsapp_url,primary_email,primary_linkedin,fit_score,inferred_need_1,inferred_need_2,recommended_product_1,recommended_product_2,source_description
"14","Rockwell Automation de México","Mexico","rockwellautomation.com","+27119981000","https://wa.me/27119981000","","https://www.linkedin.com/company/rockwell-automation/","100","PLC connectivity and industrial protocol conversion","automation gateway and edge integration","BLIIOT gateways/routers (R40, BA/BE/BL gateway series)","ARMxy edge computers/controllers","Global automation leader's South Africa office. Provides Allen-Bradley PLCs, industrial automation, and digital transformation solutions. Major player in SA industrial automation market."
"35","Abreu Automação de Portões em Belo Horizonte","Brazil","","+553130240132","https://wa.me/553130240132","","","8.3","PLC/SCADA connectivity and protocol conversion","building automation and HVAC integration","ARM edge controllers","industrial gateways and routers","Abreu Automação de Portões em Belo Horizonte appears on Google Maps as a (10) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"36","Automation Security And Services","Brazil","automationsolutions.com.br","+553133149900","https://wa.me/553133149900","comercial@automationsolutions.com.br","","8.3","PLC/SCADA connectivity and protocol conversion","building automation and HVAC integration","ARM edge controllers","industrial gateways and routers","Automação"
"37","Tecai","Brazil","tecai.com.br","+553131411000","https://wa.me/553131411000","contato@tecai.com.br","","8.3","PLC/SCADA connectivity and protocol conversion","building automation and HVAC integration","ARM edge controllers","industrial gateways and routers","Conheça a Tecai! Empresa especializada em automação residencial e corporativa, áudio e vídeo. Com tecnologia inovadora, fazemos a instalação sem obra!"
"39","BH Automação Residencial","Brazil","bhautomacao.com.br","+5531984587764","https://wa.me/5531984587764","","","8.3","PLC/SCADA connectivity and protocol conversion","building automation and HVAC integration","ARM edge controllers","industrial gateways and routers","BH Automação Residencial appears on Google Maps as a (1) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"38","Live Automação","Brazil","liveautomacao.com.br","+553133355335","https://wa.me/553133355335","","","7.5","PLC/SCADA connectivity and protocol conversion","building automation and HVAC integration","ARM edge controllers","industrial gateways and routers","Live Automação appears on Google Maps as a (25) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"40","Versão Brasileira Vídeo e Multimídia Ltda","Brazil","","+553132275090","https://wa.me/553132275090","","","7.5","PLC/SCADA connectivity and protocol conversion","building automation and HVAC integration","ARM edge controllers","industrial gateways and routers","Versão Brasileira Vídeo e Multimídia Ltda appears on Google Maps as a (14) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"1","KALATEC AUTOMATION LTD - Branch São Paulo","Brazil","kalatec.com.br","+551155147680","https://wa.me/551155147680","","https://br.linkedin.com/company/kalatec-automacao","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","KALATEC AUTOMATION LTD - Branch São Paulo appears on Google Maps as a 5.0 in Brazil. The lead was collected from a search related to automação industrial São Paulo, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"3","Domínio Automação Industrial","Brazil","","+551138920956","https://wa.me/551138920956","","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Domínio Automação Industrial appears on Google Maps as a (10) in Brazil. The lead was collected from a search related to automação industrial São Paulo, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"4","Automação 2000","Brazil","automacao2000.com.br","+551138556100","https://wa.me/551138556100","contato@automacao.com.br","https://www.linkedin.com/company/automacao2000/","7.3","industrial automation and field connectivity","","industrial gateways and routers","","Desde 1996 atuando no ramo de Automação Comercial, levando soluções personalizadas para seus clientes, oferecendo Sistemas para Food Service"
"5","G Tech Automação Industrial LTDA","Brazil","gtechautomacao.ind.br","+551135969716","https://wa.me/551135969716","","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","G Tech Automação Industrial LTDA appears on Google Maps as a (10) in Brazil. The lead was collected from a search related to automação industrial São Paulo, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"6","Wolf Automation CDMX","Mexico","wolfautomation.mx","+525637099414","https://wa.me/525637099414","Info@wolfautomation.com.mx","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Wolf Automation CDMX appears on Google Maps as a (57) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"7","ROMA AUTOMATION","Mexico","roma-automation.com.mx","+525557991186","https://wa.me/525557991186","ventas01@roma-automation.com.mx","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","ROMA AUTOMATION appears on Google Maps as a (7) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"8","Kinemotion Automation","Mexico","kinemotion-automation.com","+525532241557","https://wa.me/525532241557","ventas@kinemotion-automation.com","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Kinemotion Automation es distribuidor autorizado de Lenze en México. Ofrecemos servo drives i950/i700, inversores i500, motoreductores g500, PLCs y soporte técnico especializado desde CDMX y Guadalajara."
"10","Automation S.A. de C.V.","Mexico","automationsadecv.com","+5253604679","https://wa.me/5253604679","","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Automation S.A. de C.V. appears on Google Maps as a (1) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"11","IPA AUTOMATIZACION -Automatización y Neumática industrial SMC.","Mexico","ipaautomatizacion.com","+525536477562","https://wa.me/525536477562","impallari@gmail.com","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","IPA AUTOMATIZACION -Automatización y Neumática industrial SMC. appears on Google Maps as a (4) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"15","Automatización Industrial S.H.","Argentina","","+541159474738","https://wa.me/541159474738","","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Automatización Industrial S.H. appears on Google Maps as a (2) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"17","Ingenia Control SRL - Automatización Industrial","Argentina","ingenia.com.ar","+541146697707","https://wa.me/541146697707","","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Ingenia Control SRL - Automatización Industrial appears on Google Maps as a (1) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"18","Factory Solutions - Automatización y Robótica Industrial","Argentina","factorysolutions.com.ar","+541155331100","https://wa.me/541155331100","","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Factory Solutions - Automatización y Robótica Industrial appears on Google Maps as a (1) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"20","Automatización De Portones - MG AUTOMATIZACIONES","Argentina","","+5491165209991","https://wa.me/5491165209991","","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Automatización De Portones - MG AUTOMATIZACIONES appears on Google Maps as a (17) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"22","Automatización Norte","Argentina","","+541161154659","https://wa.me/541161154659","","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Automatización Norte appears on Google Maps as a (2) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"23","KDK-Argentina","Argentina","kdk-argentina.com","+5491135054401","https://wa.me/5491135054401","ventas@kdk-argentina.com","https://www.linkedin.com/company/kdk-argentina/","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Proveedor de productos para automatización y control industrial: Radares, Sensores de nivel para sólidos y líquidos, sensores Inductivos y Capacitivos, Sensores ópticos, laser, de fibra optica, sensores ultrasónicos, sensores magnéticos, PT100, Termocuplas, Variadores de velocidad, Arrancadores Suaves, motores paso a paso, Encoders, Drivers, Transductores y Celdas de carga, Contactores y Guardamotores, Controles de Temperatura, Contadores, Transductores de proceso, Pantallas, displays, Sensores Magnéticos y Relés de Seguridad, Fuentes Switching, Transformadores y Cargadores, Instrumentos de Medición, Materiales Electricos, PLC, Neumática, Temporizadores, Relés electromecánicos, relés de estado sólido, Termómetros y Manometros, Termostatos y presostatos, Componentes electrónicos, Conectores y Fichas, entre otros..."
"27","Control y Automatización","Colombia","","+573165388531","https://wa.me/573165388531","","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Control y Automatización appears on Google Maps as a (11) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"29","Automatik Control","Colombia","grupoautomatik.com","+573173525622","https://wa.me/573173525622","jlugo@grupoautomatik.com","https://www.linkedin.com/company/18647481/admin/","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Automatik Control appears on Google Maps as a (2) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"30","CONTROL4 BOGOTA","Colombia","control4colombia.com","+5715336827","https://wa.me/5715336827","","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","CONTROL4 BOGOTA appears on Google Maps as a (4) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"31","Multicontrol Ltda - Omron Colombia - Panamá","Colombia","multicontrol.com.co","+573153457101","https://wa.me/573153457101","sede.bogota@multicontrol.com.co","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Multicontrol Ltda - Omron Colombia - Panamá appears on Google Maps as a (8) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"32","One Automatización - Control4","Colombia","oneautomatizacion.com","+573123281386","https://wa.me/573123281386","info@oneautomatizacion.com","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","One Automatización - Control4 appears on Google Maps as a (2) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"33","Control de Acceso","Colombia","","+573152150669","https://wa.me/573152150669","","","7.3","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Control de Acceso appears on Google Maps as a (1) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
