name,country,rating,leadType,phone,domain,officialEmails,linkedinUrls,whatsappNumbers,fitScore,inferredNeeds,recommendedProducts,desc
"KALATEC AUTOMATION LTD - Branch São Paulo","Brazil","5","5.0","+551155147680","kalatec.com.br","","https://br.linkedin.com/company/kalatec-automacao; https://www.linkedin.com/company/kalatec-automacao/","+551155147680","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","KALATEC AUTOMATION LTD - Branch São Paulo appears on Google Maps as a 5.0 in Brazil. The lead was collected from a search related to automação industrial São Paulo, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"ZYCON AUTOMAÇÃO INDUSTRIAL","Brazil","4.3","(12)","+551131032100","zycon.com.br","","","+551131032100","6.5","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","ZYCON AUTOMAÇÃO INDUSTRIAL appears on Google Maps as a (12) in Brazil. The lead was collected from a search related to automação industrial São Paulo, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Domínio Automação Industrial","Brazil","4.8","(10)","+551138920956","","","","+551138920956","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Domínio Automação Industrial appears on Google Maps as a (10) in Brazil. The lead was collected from a search related to automação industrial São Paulo, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Automação 2000","Brazil","4.8","(35)","+551138556100","automacao2000.com.br","contato@automacao.com.br; contato@automacao2000.com.br","https://www.linkedin.com/company/automacao2000/; https://www.linkedin.com/company/automacao2000/mycompany/","+551138556100","7.3","industrial automation and field connectivity","industrial gateways and routers","Desde 1996 atuando no ramo de Automação Comercial, levando soluções personalizadas para seus clientes, oferecendo Sistemas para Food Service"
"G Tech Automação Industrial LTDA","Brazil","5","(10)","+551135969716","gtechautomacao.ind.br","","","+551135969716","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","G Tech Automação Industrial LTDA appears on Google Maps as a (10) in Brazil. The lead was collected from a search related to automação industrial São Paulo, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Wolf Automation CDMX","Mexico","4.9","(57)","+525637099414","wolfautomation.mx","cotizaciones@wolfautomation.mx; Info@wolfautomation.com.mx; Info@wolfautomation.mx","","+525637099414; +52563709414","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Wolf Automation CDMX appears on Google Maps as a (57) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"ROMA AUTOMATION","Mexico","5","(7)","+525557991186","roma-automation.com.mx","ventas01@roma-automation.com.mx; lramos@roma-automation.com.mx","","+525557991186","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","ROMA AUTOMATION appears on Google Maps as a (7) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Kinemotion Automation","Mexico","5","(1)","+525532241557","kinemotion-automation.com","ventas@kinemotion-automation.com; ventasgdl@kinemotion-automation.com; contacto@kinemotion-automation.com; soporte@kinemotion-automation.com","","+525532241557","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Kinemotion Automation es distribuidor autorizado de Lenze en México. Ofrecemos servo drives i950/i700, inversores i500, motoreductores g500, PLCs y soporte técnico especializado desde CDMX y Guadalajara."
"Ingeniería en Automatización y Control S.A de C.V","Mexico","4.7","(87)","+525555126061","iacsamexico.com.mx","ventas@iacsamexico.com.mx","","+5584939063; +525555126061","6.5","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Ingeniería en Automatización y Control S.A de C.V appears on Google Maps as a (87) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Automation S.A. de C.V.","Mexico","5","(1)","+5253604679","automationsadecv.com","","","+5253604679","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Automation S.A. de C.V. appears on Google Maps as a (1) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
