queue_id,name,country,domain,whatsapp_number,whatsapp_url,primary_email,primary_linkedin,fit_score,inferred_need_1,inferred_need_2,recommended_product_1,recommended_product_2,source_description
"1","Agora Automation (Pty)Ltd","South Africa","agora-automation.co.za","+27823637667","https://wa.me/27823637667","mike@agora-automation.co.za","https://www.linkedin.com/company/agora-automation/","100","PLC connectivity and industrial protocol conversion","automation gateway and edge integration","BLIIOT gateways/routers (R40, BA/BE/BL gateway series)","ARMxy edge computers/controllers","Industrial automation system integrator based in N4 Gateway Industrial Park, Pretoria. Specializes in PLC programming, SCADA systems, and industrial control solutions for manufacturing and process industries across South Africa."
"2","PCMP PTY LTD","South Africa","pcmp.co.za","+27104499679","https://wa.me/27104499679","contact@pcmp.co.za","https://www.linkedin.com/company/pcmp-pty-ltd/","100","PLC connectivity and industrial protocol conversion","automation gateway and edge integration","BLIIOT gateways/routers (R40, BA/BE/BL gateway series)","ARMxy edge computers/controllers","Electrical engineering firm specializing in industrial automation, electrical design, and control systems. Based in Princess Industrial Estate, Johannesburg. Provides engineering solutions to mining, manufacturing, and utilities sectors."
"3","Systems Automation & Management","South Africa","","+27118030570","https://wa.me/27118030570","","","100","PLC connectivity and industrial protocol conversion","automation gateway and edge integration","BLIIOT gateways/routers (R40, BA/BE/BL gateway series)","ARMxy edge computers/controllers","Automation and management systems integrator in Gauteng, South Africa. Provides integrated control solutions, PLC programming, and industrial automation services to various industries."
"4","Process Dynamics (Pty) Ltd","South Africa","process-dynamics.co.za","+27113945412","https://wa.me/27113945412","","https://www.linkedin.com/company/process-dynamics/","100","PLC connectivity and industrial protocol conversion","automation gateway and edge integration","BLIIOT gateways/routers (R40, BA/BE/BL gateway series)","ARMxy edge computers/controllers","Leading process automation system integrator based in Johannesburg. Specializes in PLC/DCS/SCADA integration, process control solutions for food & beverage, chemical, and manufacturing industries."
"5","Elan Systems South Africa","South Africa","","+27861352647","https://wa.me/27861352647","","","100","automation gateway and edge integration","energy monitoring and building/utility management","BLIIOT gateways/routers (R40, BA/BE/BL gateway series)","ARMxy edge computers/controllers","Building and home automation specialist in Johannesburg. Provides smart home systems, lighting control, security integration, and energy management solutions for residential and commercial buildings."
"6","INTEG System Integrators","South Africa","integ.co.za","+27218500320","https://wa.me/27218500320","info@integ.co.za","https://www.linkedin.com/company/integ-system-integrators/","100","PLC connectivity and industrial protocol conversion","automation gateway and edge integration","BLIIOT gateways/routers (R40, BA/BE/BL gateway series)","ARMxy edge computers/controllers","Cape Town-based system integrator. Provides industrial automation, control systems integration, and software solutions to manufacturing and industrial clients. Perfect 5.0 rating."
"7","SyncSystems Automation","South Africa","","+27100260101","https://wa.me/27100260101","","","100","PLC connectivity and industrial protocol conversion","automation gateway and edge integration","BLIIOT gateways/routers (R40, BA/BE/BL gateway series)","ARMxy edge computers/controllers","Industrial automation system integrator based in Johannesburg. Part of Interroll global partner network. Specializes in conveyor and material handling automation solutions."
"8","Elonics Industrial Automation","South Africa","","+27317026242","https://wa.me/27317026242","","","100","automation gateway and edge integration","IIoT platform connectivity and field data access","BLIIOT gateways/routers (R40, BA/BE/BL gateway series)","ARMxy edge computers/controllers","Durban-based industrial automation and connectivity solutions company. Provides automation products and technical support to industrial clients in KwaZulu-Natal region."
"9","Emenem Industrial","South Africa","","+27825708093","https://wa.me/27825708093","","","100","automation gateway and edge integration","PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series)","ARMxy edge computers/controllers","Industrial automation company in Johannesburg. Provides automation solutions, control systems, and industrial equipment to the manufacturing sector. High-rated with 4.9 stars."
"10","Rockwell Automation SA","South Africa","","+27119981000","https://wa.me/27119981000","","https://www.linkedin.com/company/rockwell-automation/","100","PLC connectivity and industrial protocol conversion","automation gateway and edge integration","BLIIOT gateways/routers (R40, BA/BE/BL gateway series)","ARMxy edge computers/controllers","Global automation leader's South Africa office. Provides Allen-Bradley PLCs, industrial automation, and digital transformation solutions. Major player in SA industrial automation market."
